,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xh12,xh13,xh14,xh15,xh16
9914,2,c_klmx:11,51,56,91,59,-,107,91,59,0.2329,398.2,平手/半球,Fonbet.csv,1.0,
10206,2,c_klmx:11,36,43,53,48,-,79,53,48,0.2265,184.7,平手/半球,Expekt.csv,1.0,
10784,3,c_klmx:12,25,39,30,20,-,64,30,20,0.4956,354.7,一球,Betshop.csv,2.0,
10929,4,c_klmx:101,9,6,21,34,-,15,21,34,0.3399,62.9,受半球,Iceland.csv,2.0,
11004,2,c_klmx:11,45,40,48,46,-,85,48,46,0.3005,321.6,半球,威廉希尔.csv,2.0,
11052,3,c_klmx:12,40,47,55,62,-,87,55,62,0.202,188.7,平手/半球,Betshop.csv,1.0,
11192,0,c_klmx:31,234,182,207,162,-,416,207,162,0.4229,12246.9,半球,Oddset.csv,2.0,
11193,0,c_klmx:31,320,289,304,237,-,609,304,237,0.4223,26210.9,半球,Iceland.csv,2.0,
11285,0,c_klmx:31,209,173,191,152,-,382,191,152,0.4159,10100.2,半球,Fonbet.csv,2.0,
11290,1,c_klmx:32,57,43,38,21,-,100,38,21,0.6406,1152.7,半球/一球,利记.csv,1.0,
11314,2,c_klmx:11,8,14,22,30,-,22,22,30,0.1529,14.2,受平手/半球,Oddset.csv,2.0,
11332,3,c_klmx:12,34,44,50,57,-,78,50,57,0.1929,141.6,平手/半球,PMU.csv,1.0,
11404,2,c_klmx:11,15,31,47,63,-,46,47,63,0.1498,60.7,受平手/半球,Iddaa.csv,2.0,
11407,5,c_klmx:102,31,48,78,141,-,79,78,141,0.2966,868.2,受平手/半球,Oddset.csv,2.0,
11440,2,c_klmx:11,33,25,30,22,-,58,30,22,0.4209,238.2,一球,易胜博.csv,2.0,
11467,4,c_klmx:101,32,36,50,45,-,68,50,45,0.1818,97.6,半球,BetClick.csv,2.0,
11486,1,c_klmx:32,4,3,4,22,-,7,4,22,0.7158,62.0,受半球,SNAI.csv,1.0,
11487,2,c_klmx:11,9,11,28,40,-,20,28,40,0.2802,67.6,受半球,金宝博.csv,2.0,
11557,2,c_klmx:11,33,29,39,33,-,62,39,33,0.2798,156.2,半球,888Sport.csv,2.0,
11561,1,c_klmx:32,33,40,28,14,-,73,28,14,0.6566,633.6,半球/一球,易胜博.csv,1.0,
11589,1,c_klmx:32,11,15,16,43,-,26,16,43,0.3934,124.2,受平手/半球,Fonbet.csv,1.0,
11626,3,c_klmx:12,33,19,29,16,-,52,29,16,0.4604,221.6,一球,Sweden.csv,2.0,
11627,4,c_klmx:101,5,5,5,3,-,10,5,3,0.4907,8.7,一球,竞彩官方.csv,2.0,
11648,3,c_klmx:12,82,88,95,97,-,170,95,97,0.2892,1217.6,半球,金宝博.csv,2.0,
11669,1,c_klmx:32,3,3,9,32,-,6,9,32,0.7413,134.9,受半球,10BET.csv,1.0,
11683,3,c_klmx:12,6,9,23,21,-,15,23,21,0.1728,11.6,受平手/半球,奥地利博彩.csv,2.0,
11745,0,c_klmx:31,164,117,107,90,-,281,107,90,0.5417,7449.6,半球/一球,威廉希尔.it.csv,2.0,
11763,2,c_klmx:11,10,17,30,48,-,27,30,48,0.265,86.0,受半球,Iddaa.csv,2.0,
11776,3,c_klmx:12,10,24,35,48,-,34,35,48,0.1635,40.7,受平手/半球,威廉希尔.csv,2.0,
11812,4,c_klmx:101,14,23,13,16,-,37,13,16,0.4853,114.0,一球,888Sport.csv,2.0,
11836,2,c_klmx:11,29,34,47,31,-,63,47,31,0.278,170.7,半球,10BET.csv,2.0,
