,code,name,cl,clname,gxsj
4179,002355,兴民智通,1,策略6----背驰6 bc6,202007112220
4184,002313,日海智能,1,策略6----背驰6 bc6,202007112220
4211,600243,青海华鼎,1,策略6----背驰6 bc6,202007112220
4288,601777,力帆股份,1,策略6----背驰6 bc6,202007112220
4321,300153,科泰电源,1,策略6----背驰6 bc6,202007112220
4342,300552,万集科技,1,策略6----背驰6 bc6,202007112220
4348,002077,大港股份,1,策略6----背驰6 bc6,202007112220
4396,600242,中昌数据,1,策略6----背驰6 bc6,202007112220
4428,002725,跃岭股份,1,策略6----背驰6 bc6,202007112220
4582,002354,天神娱乐,1,策略6----背驰6 bc6,202007112220
4602,300245,天玑科技,1,策略6----背驰6 bc6,202007112220
4610,300376,易事特,1,策略6----背驰6 bc6,202007112220
4702,300456,耐威科技,1,策略6----背驰6 bc6,202007112220
4711,002490,山东墨龙,1,策略6----背驰6 bc6,202007112220
4774,002913,奥士康,1,策略6----背驰6 bc6,202007112220
4784,600728,佳都科技,1,策略6----背驰6 bc6,202007112220
4871,300474,景嘉微,1,策略6----背驰6 bc6,202007112220
4887,002881,美格智能,1,策略6----背驰6 bc6,202007112220
4937,300111,向日葵,1,策略6----背驰6 bc6,202007112220
5013,300356,光一科技,1,策略6----背驰6 bc6,202007112220
5119,300353,东土科技,1,策略6----背驰6 bc6,202007112220
5141,000034,神州数码,1,策略6----背驰6 bc6,202007112220
5164,002893,华通热力,1,策略6----背驰6 bc6,202007112220
