,code,name,cl,clname,gxsj
652,002111,威海广泰,1,策略3----macd红柱 yhz,202007112220
655,002511,中顺洁柔,1,策略3----macd红柱 yhz,202007112220
657,000893,东凌国际,1,策略3----macd红柱 yhz,202007112220
659,600823,世茂股份,1,策略3----macd红柱 yhz,202007112220
660,000403,双林生物,1,策略3----macd红柱 yhz,202007112220
661,600153,建发股份,1,策略3----macd红柱 yhz,202007112220
662,600727,鲁北化工,1,策略3----macd红柱 yhz,202007112220
666,300110,华仁药业,1,策略3----macd红柱 yhz,202007112220
669,600825,新华传媒,1,策略3----macd红柱 yhz,202007112220
671,600887,伊利股份,1,策略3----macd红柱 yhz,202007112220
673,300070,碧水源,1,策略3----macd红柱 yhz,202007112220
678,300097,智云股份,1,策略3----macd红柱 yhz,202007112220
681,002293,罗莱生活,1,策略3----macd红柱 yhz,202007112220
682,600720,祁连山,1,策略3----macd红柱 yhz,202007112220
683,002135,东南网架,1,策略3----macd红柱 yhz,202007112220
685,300129,泰胜风能,1,策略3----macd红柱 yhz,202007112220
686,002398,垒知集团,1,策略3----macd红柱 yhz,202007112220
689,600298,安琪酵母,1,策略3----macd红柱 yhz,202007112220
691,300469,信息发展,1,策略3----macd红柱 yhz,202007112220
692,300050,世纪鼎利,1,策略3----macd红柱 yhz,202007112220
694,600649,城投控股,1,策略3----macd红柱 yhz,202007112220
696,600422,昆药集团,1,策略3----macd红柱 yhz,202007112220
698,600612,老凤祥,1,策略3----macd红柱 yhz,202007112220
699,600156,华升股份,1,策略3----macd红柱 yhz,202007112220
702,600257,大湖股份,1,策略3----macd红柱 yhz,202007112220
704,000736,中交地产,1,策略3----macd红柱 yhz,202007112220
705,600085,同仁堂,1,策略3----macd红柱 yhz,202007112220
706,600039,四川路桥,1,策略3----macd红柱 yhz,202007112220
708,002050,三花智控,1,策略3----macd红柱 yhz,202007112220
710,002799,环球印务,1,策略3----macd红柱 yhz,202007112220
712,603017,中衡设计,1,策略3----macd红柱 yhz,202007112220
714,600629,华建集团,1,策略3----macd红柱 yhz,202007112220
715,300215,电科院,1,策略3----macd红柱 yhz,202007112220
717,600222,太龙药业,1,策略3----macd红柱 yhz,202007112220
719,603986,兆易创新,1,策略3----macd红柱 yhz,202007112220
722,600881,亚泰集团,1,策略3----macd红柱 yhz,202007112220
725,002330,得利斯,1,策略3----macd红柱 yhz,202007112220
727,002665,首航高科,1,策略3----macd红柱 yhz,202007112220
729,600097,开创国际,1,策略3----macd红柱 yhz,202007112220
731,002566,益盛药业,1,策略3----macd红柱 yhz,202007112220
733,600521,华海药业,1,策略3----macd红柱 yhz,202007112220
734,002084,海鸥住工,1,策略3----macd红柱 yhz,202007112220
735,600512,腾达建设,1,策略3----macd红柱 yhz,202007112220
738,002561,徐家汇,1,策略3----macd红柱 yhz,202007112220
741,600316,洪都航空,1,策略3----macd红柱 yhz,202007112220
743,601633,长城汽车,1,策略3----macd红柱 yhz,202007112220
744,002465,海格通信,1,策略3----macd红柱 yhz,202007112220
746,002533,金杯电工,1,策略3----macd红柱 yhz,202007112220
748,300175,朗源股份,1,策略3----macd红柱 yhz,202007112220
749,002853,皮阿诺,1,策略3----macd红柱 yhz,202007112220
752,002748,世龙实业,1,策略3----macd红柱 yhz,202007112220
754,000501,鄂武商Ａ,1,策略3----macd红柱 yhz,202007112220
756,002270,华明装备,1,策略3----macd红柱 yhz,202007112220
760,002532,新界泵业,1,策略3----macd红柱 yhz,202007112220
762,603299,苏盐井神,1,策略3----macd红柱 yhz,202007112220
764,603063,禾望电气,1,策略3----macd红柱 yhz,202007112220
765,600268,国电南自,1,策略3----macd红柱 yhz,202007112220
767,300439,美康生物,1,策略3----macd红柱 yhz,202007112220
768,300587,天铁股份,1,策略3----macd红柱 yhz,202007112220
769,601126,四方股份,1,策略3----macd红柱 yhz,202007112220
771,000717,韶钢松山,1,策略3----macd红柱 yhz,202007112220
773,600284,浦东建设,1,策略3----macd红柱 yhz,202007112220
774,603060,国检集团,1,策略3----macd红柱 yhz,202007112220
776,000877,天山股份,1,策略3----macd红柱 yhz,202007112220
778,603599,广信股份,1,策略3----macd红柱 yhz,202007112220
780,002437,誉衡药业,1,策略3----macd红柱 yhz,202007112220
781,600248,延长化建,1,策略3----macd红柱 yhz,202007112220
782,000961,中南建设,1,策略3----macd红柱 yhz,202007112220
783,000977,浪潮信息,1,策略3----macd红柱 yhz,202007112220
786,002504,弘高创意,1,策略3----macd红柱 yhz,202007112220
787,002495,佳隆股份,1,策略3----macd红柱 yhz,202007112220
788,600597,光明乳业,1,策略3----macd红柱 yhz,202007112220
790,000519,中兵红箭,1,策略3----macd红柱 yhz,202007112220
792,600620,天宸股份,1,策略3----macd红柱 yhz,202007112220
793,002742,三圣股份,1,策略3----macd红柱 yhz,202007112220
795,603367,辰欣药业,1,策略3----macd红柱 yhz,202007112220
797,000970,中科三环,1,策略3----macd红柱 yhz,202007112220
801,600819,耀皮玻璃,1,策略3----macd红柱 yhz,202007112220
803,000712,锦龙股份,1,策略3----macd红柱 yhz,202007112220
804,600780,通宝能源,1,策略3----macd红柱 yhz,202007112220
807,600693,东百集团,1,策略3----macd红柱 yhz,202007112220
808,000793,华闻集团,1,策略3----macd红柱 yhz,202007112220
810,002818,富森美,1,策略3----macd红柱 yhz,202007112220
812,002461,珠江啤酒,1,策略3----macd红柱 yhz,202007112220
813,603208,江山欧派,1,策略3----macd红柱 yhz,202007112220
814,000915,山大华特,1,策略3----macd红柱 yhz,202007112220
815,000952,广济药业,1,策略3----macd红柱 yhz,202007112220
817,603757,大元泵业,1,策略3----macd红柱 yhz,202007112220
820,300048,合康新能,1,策略3----macd红柱 yhz,202007112220
822,002107,沃华医药,1,策略3----macd红柱 yhz,202007112220
