,code,name,cl,cljg,qz,files,gxsj
1053,000885,城发环境,策略1,处于弱势区域,1,rs,202008200133
1056,000920,南方汇通,策略1,处于弱势区域,1,rs,202008200133
1059,000759,中百集团,策略1,处于弱势区域,1,rs,202008200133
1069,300509,新美星,策略1,处于弱势区域,1,rs,202008200133
1075,603060,国检集团,策略1,处于弱势区域,1,rs,202008200133
1076,600675,中华企业,策略1,处于弱势区域,1,rs,202008200133
1078,300038,数知科技,策略1,处于弱势区域,1,rs,202008200133
1080,000056,皇庭国际,策略1,处于弱势区域,1,rs,202008200133
1090,300631,久吾高科,策略1,处于弱势区域,1,rs,202008200133
1091,603028,赛福天,策略1,处于弱势区域,1,rs,202008200133
1095,600628,新世界,策略1,处于弱势区域,1,rs,202008200133
1098,002327,富安娜,策略1,处于弱势区域,1,rs,202008200133
1100,600550,保变电气,策略1,处于弱势区域,1,rs,202008200133
1106,600663,陆家嘴,策略1,处于弱势区域,1,rs,202008200133
1108,603177,德创环保,策略1,处于弱势区域,1,rs,202008200133
1112,300206,理邦仪器,策略1,处于弱势区域,1,rs,202008200133
1113,601928,凤凰传媒,策略1,处于弱势区域,1,rs,202008200133
1114,300180,华峰超纤,策略1,处于弱势区域,1,rs,202008200133
1115,603013,亚普股份,策略1,处于弱势区域,1,rs,202008200133
1117,000035,中国天楹,策略1,处于弱势区域,1,rs,202008200133
1120,000657,中钨高新,策略1,处于弱势区域,1,rs,202008200133
1122,600846,同济科技,策略1,处于弱势区域,1,rs,202008200133
1127,603000,人民网,策略1,处于弱势区域,1,rs,202008200133
1135,601600,中国铝业,策略1,处于弱势区域,1,rs,202008200133
1138,002154,报 喜 鸟,策略1,处于弱势区域,1,rs,202008200133
1139,002330,得利斯,策略1,处于弱势区域,1,rs,202008200133
1151,600809,山西汾酒,策略1,处于弱势区域,1,rs,202008200133
1157,600826,兰生股份,策略1,处于弱势区域,1,rs,202008200133
1162,600035,楚天高速,策略1,处于弱势区域,1,rs,202008200133
1163,300656,民德电子,策略1,处于弱势区域,1,rs,202008200133
1165,000415,渤海租赁,策略1,处于弱势区域,1,rs,202008200133
1166,601933,永辉超市,策略1,处于弱势区域,1,rs,202008200133
1167,603020,爱普股份,策略1,处于弱势区域,1,rs,202008200133
1172,002229,鸿博股份,策略1,处于弱势区域,1,rs,202008200133
1173,603993,洛阳钼业,策略1,处于弱势区域,1,rs,202008200133
1174,002539,云图控股,策略1,处于弱势区域,1,rs,202008200133
1182,600160,巨化股份,策略1,处于弱势区域,1,rs,202008200133
1191,002273,水晶光电,策略1,处于弱势区域,1,rs,202008200133
1193,002777,久远银海,策略1,处于弱势区域,1,rs,202008200133
1194,002374,丽鹏股份,策略1,处于弱势区域,1,rs,202008200133
1196,600865,百大集团,策略1,处于弱势区域,1,rs,202008200133
1197,600276,恒瑞医药,策略1,处于弱势区域,1,rs,202008200133
