,code,name,cl,clname,gxsj
596,300690,双一科技,1,策略4----高于50(向上趋势中) d501,202007262355
598,002349,精华制药,1,策略4----高于50(向上趋势中) d501,202007262355
610,002626,金达威,1,策略4----高于50(向上趋势中) d501,202007262355
612,002366,台海核电,1,策略4----高于50(向上趋势中) d501,202007262355
614,002145,中核钛白,1,策略4----高于50(向上趋势中) d501,202007262355
622,603718,海利生物,1,策略4----高于50(向上趋势中) d501,202007262355
647,600438,通威股份,1,策略4----高于50(向上趋势中) d501,202007262355
654,002408,齐翔腾达,1,策略4----高于50(向上趋势中) d501,202007262355
656,002444,巨星科技,1,策略4----高于50(向上趋势中) d501,202007262355
658,002232,启明信息,1,策略4----高于50(向上趋势中) d501,202007262355
671,600285,羚锐制药,1,策略4----高于50(向上趋势中) d501,202007262355
676,603517,绝味食品,1,策略4----高于50(向上趋势中) d501,202007262355
679,300648,星云股份,1,策略4----高于50(向上趋势中) d501,202007262355
685,600391,航发科技,1,策略4----高于50(向上趋势中) d501,202007262355
689,600372,中航电子,1,策略4----高于50(向上趋势中) d501,202007262355
695,300600,瑞特股份,1,策略4----高于50(向上趋势中) d501,202007262355
700,603579,荣泰健康,1,策略4----高于50(向上趋势中) d501,202007262355
701,300198,纳川股份,1,策略4----高于50(向上趋势中) d501,202007262355
710,002318,久立特材,1,策略4----高于50(向上趋势中) d501,202007262355
713,000561,烽火电子,1,策略4----高于50(向上趋势中) d501,202007262355
716,600738,兰州民百,1,策略4----高于50(向上趋势中) d501,202007262355
728,300183,东软载波,1,策略4----高于50(向上趋势中) d501,202007262355
781,603737,三棵树,1,策略4----高于50(向上趋势中) d501,202007262355
807,300238,冠昊生物,1,策略4----高于50(向上趋势中) d501,202007262355
824,002683,宏大爆破,1,策略4----高于50(向上趋势中) d501,202007262355
846,603136,天目湖,1,策略4----高于50(向上趋势中) d501,202007262355
860,300591,万里马,1,策略4----高于50(向上趋势中) d501,202007262355
861,300601,康泰生物,1,策略4----高于50(向上趋势中) d501,202007262355
866,600223,鲁商发展,1,策略4----高于50(向上趋势中) d501,202007262355
888,300511,雪榕生物,1,策略4----高于50(向上趋势中) d501,202007262355
894,603067,振华股份,1,策略4----高于50(向上趋势中) d501,202007262355
913,300122,智飞生物,1,策略4----高于50(向上趋势中) d501,202007262355
929,002414,高德红外,1,策略4----高于50(向上趋势中) d501,202007262355
935,000913,钱江摩托,1,策略4----高于50(向上趋势中) d501,202007262355
937,300138,晨光生物,1,策略4----高于50(向上趋势中) d501,202007262355
938,002597,金禾实业,1,策略4----高于50(向上趋势中) d501,202007262355
968,603776,永安行,1,策略4----高于50(向上趋势中) d501,202007262355
995,000593,大通燃气,1,策略4----高于50(向上趋势中) d501,202007262355
1006,300592,华凯创意,1,策略4----高于50(向上趋势中) d501,202007262355
1021,300095,华伍股份,1,策略4----高于50(向上趋势中) d501,202007262355
1035,300443,金雷股份,1,策略4----高于50(向上趋势中) d501,202007262355
1042,300298,三诺生物,1,策略4----高于50(向上趋势中) d501,202007262355
1062,600739,辽宁成大,1,策略4----高于50(向上趋势中) d501,202007262355
1070,600267,海正药业,1,策略4----高于50(向上趋势中) d501,202007262355
1072,002560,通达股份,1,策略4----高于50(向上趋势中) d501,202007262355
1082,600165,新日恒力,1,策略4----高于50(向上趋势中) d501,202007262355
1089,600858,银座股份,1,策略4----高于50(向上趋势中) d501,202007262355
1093,002541,鸿路钢构,1,策略4----高于50(向上趋势中) d501,202007262355
1095,002705,新宝股份,1,策略4----高于50(向上趋势中) d501,202007262355
1097,601888,中国中免,1,策略4----高于50(向上趋势中) d501,202007262355
1098,002803,吉宏股份,1,策略4----高于50(向上趋势中) d501,202007262355
1102,002469,三维工程,1,策略4----高于50(向上趋势中) d501,202007262355
1104,002295,精艺股份,1,策略4----高于50(向上趋势中) d501,202007262355
