,code,name,cl,cljg,qz,files,gxsj
371,002375,亚厦股份,策略3,主升浪一型,1,zs,202008051532
374,300077,国民技术,策略3,主升浪一型,2,zs,202008051532
377,300414,中光防雷,策略3,主升浪一型,2,zs,202008051532
378,600135,乐凯胶片,策略3,主升浪一型,1,zs,202008051532
381,002007,华兰生物,策略3,主升浪一型,1,zs,202008051532
384,300579,数字认证,策略3,主升浪一型,1,zs,202008051532
386,603535,嘉诚国际,策略3,主升浪一型,2,zs,202008051532
387,000011,深物业A,策略3,主升浪一型,2,zs,202008051532
390,600584,长电科技,策略3,主升浪一型,2,zs,202008051532
391,603859,能科股份,策略3,主升浪一型,1,zs,202008051532
393,603985,恒润股份,策略3,主升浪一型,2,zs,202008051532
395,002370,亚太药业,策略3,主升浪一型,1,zs,202008051532
398,002367,康力电梯,策略3,主升浪一型,2,zs,202008051532
399,000028,国药一致,策略3,主升浪一型,1,zs,202008051532
402,300143,盈康生命,策略3,主升浪一型,2,zs,202008051532
405,002030,达安基因,策略3,主升浪一型,1,zs,202008051532
407,000878,云南铜业,策略3,主升浪一型,2,zs,202008051532
410,600546,山煤国际,策略3,主升浪一型,1,zs,202008051532
412,000078,海王生物,策略3,主升浪一型,2,zs,202008051532
415,000695,滨海能源,策略3,主升浪一型,1,zs,202008051532
416,601126,四方股份,策略3,主升浪一型,1,zs,202008051532
419,600529,山东药玻,策略3,主升浪一型,1,zs,202008051532
422,002303,美盈森,策略3,主升浪一型,1,zs,202008051532
424,002444,巨星科技,策略3,主升浪一型,1,zs,202008051532
425,002943,宇晶股份,策略3,主升浪一型,1,zs,202008051532
428,002069,獐子岛,策略3,主升浪一型,2,zs,202008051532
431,300241,瑞丰光电,策略3,主升浪一型,1,zs,202008051532
434,603518,锦泓集团,策略3,主升浪一型,1,zs,202008051532
436,300439,美康生物,策略3,主升浪一型,2,zs,202008051532
438,300260,新莱应材,策略3,主升浪一型,1,zs,202008051532
440,600223,鲁商发展,策略3,主升浪一型,1,zs,202008051532
443,002696,百洋股份,策略3,主升浪一型,2,zs,202008051532
447,300307,慈星股份,策略3,主升浪一型,2,zs,202008051532
449,002130,沃尔核材,策略3,主升浪一型,2,zs,202008051532
452,002568,百润股份,策略3,主升浪一型,1,zs,202008051532
454,002853,皮阿诺,策略3,主升浪一型,1,zs,202008051532
455,600888,新疆众和,策略3,主升浪一型,1,zs,202008051532
457,600645,中源协和,策略3,主升浪一型,1,zs,202008051532
458,002801,微光股份,策略3,主升浪一型,1,zs,202008051532
461,300146,汤臣倍健,策略3,主升浪一型,1,zs,202008051532
463,002634,棒杰股份,策略3,主升浪一型,2,zs,202008051532
465,000589,贵州轮胎,策略3,主升浪一型,2,zs,202008051532
466,002136,安 纳 达,策略3,主升浪一型,1,zs,202008051532
468,002462,嘉事堂,策略3,主升浪一型,1,zs,202008051532
470,002515,金字火腿,策略3,主升浪一型,2,zs,202008051532
473,002126,银轮股份,策略3,主升浪一型,1,zs,202008051532
475,002283,天润工业,策略3,主升浪一型,2,zs,202008051532
478,600196,复星医药,策略3,主升浪一型,1,zs,202008051532
479,002429,兆驰股份,策略3,主升浪一型,2,zs,202008051532
482,000089,深圳机场,策略3,主升浪一型,1,zs,202008051532
485,600107,美尔雅,策略3,主升浪一型,1,zs,202008051532
488,002617,露笑科技,策略3,主升浪一型,1,zs,202008051532
491,300171,东富龙,策略3,主升浪一型,2,zs,202008051532
493,300466,赛摩智能,策略3,主升浪一型,1,zs,202008051532
496,002589,瑞康医药,策略3,主升浪一型,1,zs,202008051532
499,000690,宝新能源,策略3,主升浪一型,2,zs,202008051532
501,002163,海南发展,策略3,主升浪一型,1,zs,202008051532
503,002560,通达股份,策略3,主升浪一型,2,zs,202008051532
505,002096,南岭民爆,策略3,主升浪一型,2,zs,202008051532
508,002712,思美传媒,策略3,主升浪一型,1,zs,202008051532
509,002516,旷达科技,策略3,主升浪一型,1,zs,202008051532
510,300664,鹏鹞环保,策略3,主升浪一型,1,zs,202008051532
513,300334,津膜科技,策略3,主升浪一型,2,zs,202008051532
516,601555,东吴证券,策略3,主升浪一型,2,zs,202008051532
519,000638,万方发展,策略3,主升浪一型,2,zs,202008051532
521,000530,冰山冷热,策略3,主升浪一型,1,zs,202008051532
524,002885,京泉华,策略3,主升浪一型,1,zs,202008051532
527,603966,法兰泰克,策略3,主升浪一型,2,zs,202008051532
529,002270,华明装备,策略3,主升浪一型,1,zs,202008051532
531,300339,润和软件,策略3,主升浪一型,2,zs,202008051532
533,002135,东南网架,策略3,主升浪一型,1,zs,202008051532
535,603026,石大胜华,策略3,主升浪一型,1,zs,202008051532
536,002666,德联集团,策略3,主升浪一型,1,zs,202008051532
539,300419,浩丰科技,策略3,主升浪一型,2,zs,202008051532
541,300239,东宝生物,策略3,主升浪一型,2,zs,202008051532
545,603628,清源股份,策略3,主升浪一型,2,zs,202008051532
547,300443,金雷股份,策略3,主升浪一型,2,zs,202008051532
550,603819,神力股份,策略3,主升浪一型,1,zs,202008051532
551,600603,广汇物流,策略3,主升浪一型,1,zs,202008051532
554,002416,爱施德,策略3,主升浪一型,2,zs,202008051532
556,300580,贝斯特,策略3,主升浪一型,1,zs,202008051532
558,603693,江苏新能,策略3,主升浪一型,1,zs,202008051532
559,002433,太安堂,策略3,主升浪一型,2,zs,202008051532
561,002417,深南股份,策略3,主升浪一型,1,zs,202008051532
563,000155,川能动力,策略3,主升浪一型,1,zs,202008051532
566,002235,安妮股份,策略3,主升浪一型,2,zs,202008051532
567,603659,璞泰来,策略3,主升浪一型,1,zs,202008051532
571,000524,岭南控股,策略3,主升浪一型,2,zs,202008051532
572,600998,九州通,策略3,主升浪一型,1,zs,202008051532
574,300433,蓝思科技,策略3,主升浪一型,1,zs,202008051532
577,300480,光力科技,策略3,主升浪一型,2,zs,202008051532
581,603605,珀莱雅,策略3,主升浪一型,1,zs,202008051532
584,002706,良信电器,策略3,主升浪一型,2,zs,202008051532
585,000537,广宇发展,策略3,主升浪一型,1,zs,202008051532
588,603896,寿仙谷,策略3,主升浪一型,2,zs,202008051532
591,002831,裕同科技,策略3,主升浪一型,2,zs,202008051532
594,300680,隆盛科技,策略3,主升浪一型,1,zs,202008051532
596,300343,联创股份,策略3,主升浪一型,1,zs,202008051532
598,603856,东宏股份,策略3,主升浪一型,1,zs,202008051532
600,000531,穗恒运Ａ,策略3,主升浪一型,1,zs,202008051532
602,300468,四方精创,策略3,主升浪一型,1,zs,202008051532
605,000526,紫光学大,策略3,主升浪一型,2,zs,202008051532
608,603809,豪能股份,策略3,主升浪一型,1,zs,202008051532
609,600875,东方电气,策略3,主升浪一型,1,zs,202008051532
612,603043,广州酒家,策略3,主升浪一型,2,zs,202008051532
614,300275,梅安森,策略3,主升浪一型,1,zs,202008051532
616,000603,盛达资源,策略3,主升浪一型,2,zs,202008051532
620,600077,宋都股份,策略3,主升浪一型,1,zs,202008051532
622,000088,盐 田 港,策略3,主升浪一型,2,zs,202008051532
623,002938,鹏鼎控股,策略3,主升浪一型,1,zs,202008051532
626,002803,吉宏股份,策略3,主升浪一型,2,zs,202008051532
627,300202,聚龙股份,策略3,主升浪一型,1,zs,202008051532
630,300018,中元股份,策略3,主升浪一型,1,zs,202008051532
632,300638,广和通,策略3,主升浪一型,2,zs,202008051532
633,600847,万里股份,策略3,主升浪一型,1,zs,202008051532
636,300730,科创信息,策略3,主升浪一型,1,zs,202008051532
638,000012,南 玻Ａ,策略3,主升浪一型,2,zs,202008051532
640,603187,海容冷链,策略3,主升浪一型,2,zs,202008051532
644,000950,重药控股,策略3,主升浪一型,1,zs,202008051532
647,300357,我武生物,策略3,主升浪一型,1,zs,202008051532
650,300672,国科微,策略3,主升浪一型,1,zs,202008051532
652,002580,圣阳股份,策略3,主升浪一型,1,zs,202008051532
654,300207,欣旺达,策略3,主升浪一型,1,zs,202008051532
656,300349,金卡智能,策略3,主升浪一型,1,zs,202008051532
657,600511,国药股份,策略3,主升浪一型,1,zs,202008051532
660,300671,富满电子,策略3,主升浪一型,1,zs,202008051532
664,000153,丰原药业,策略3,主升浪一型,2,zs,202008051532
667,600833,第一医药,策略3,主升浪一型,2,zs,202008051532
672,002170,芭田股份,策略3,主升浪一型,1,zs,202008051532
675,000962,东方钽业,策略3,主升浪一型,2,zs,202008051532
677,601218,吉鑫科技,策略3,主升浪一型,2,zs,202008051532
680,300064,豫金刚石,策略3,主升浪一型,1,zs,202008051532
681,300102,乾照光电,策略3,主升浪一型,1,zs,202008051532
684,300660,江苏雷利,策略3,主升浪一型,1,zs,202008051532
689,600773,西藏城投,策略3,主升浪一型,1,zs,202008051532
691,300014,亿纬锂能,策略3,主升浪一型,2,zs,202008051532
693,000701,厦门信达,策略3,主升浪一型,1,zs,202008051532
695,300129,泰胜风能,策略3,主升浪一型,2,zs,202008051532
698,603507,振江股份,策略3,主升浪一型,2,zs,202008051532
699,600200,江苏吴中,策略3,主升浪一型,1,zs,202008051532
701,600195,中牧股份,策略3,主升浪一型,1,zs,202008051532
703,603899,晨光文具,策略3,主升浪一型,2,zs,202008051532
705,002895,川恒股份,策略3,主升浪一型,1,zs,202008051532
708,002818,富森美,策略3,主升浪一型,2,zs,202008051532
709,002639,雪人股份,策略3,主升浪一型,1,zs,202008051532
712,603890,春秋电子,策略3,主升浪一型,1,zs,202008051532
714,603088,宁波精达,策略3,主升浪一型,1,zs,202008051532
